brand,product,review,rating,sentiment
boAt,Airdopes Alpha,The sound quality is really satisfying during calls.,5,Positive
JBL,Live Pro 2,Connectivity is very disappointing and feels uncomfortable after some time.,1,Negative
Realme,Buds Wireless 2,Comfort level is surprisingly great and very comfortable to wear.,5,Positive
OnePlus,Nord Buds 2,The build quality feels unreliable with weak bass output.,2,Negative
JBL,Wave Buds,The design looks impressive and very comfortable to wear.,5,Positive
Realme,Buds T300,The fit is poor and battery drains fast.,1,Negative
Noise,Noise Air Buds,The build quality feels terrible and feels uncomfortable after some time.,1,Negative
JBL,Live Pro 2,The build quality feels very disappointing with weak bass output.,1,Negative
Noise,Buds VS104,Overall performance is decent but could be better.,3,Neutral
boAt,Airdopes Alpha,Battery life is acceptable but not outstanding.,3,Neutral
OnePlus,Buds Z2,Mic quality is satisfactory though nothing special.,3,Neutral
Noise,Buds VS104,Overall performance is decent for daily use.,3,Neutral
Noise,Buds VS102,The design looks very good and the bass is strong.,5,Positive
Noise,Buds VS104,Touch controls are surprisingly great and very comfortable to wear.,5,Positive
boAt,Airdopes 131,Connectivity is unreliable for the price paid.,2,Negative
JBL,Tune 230NC,Overall performance is below expectations for the price paid.,2,Negative
Noise,Buds VS104,Noise cancellation is really satisfying and very comfortable to wear.,5,Positive
JBL,Live Pro 2,Mic quality is decent overall.,3,Neutral
Noise,Buds VS104,Noise cancellation is smooth and reliable and easy to pair.,5,Positive
boAt,Airdopes 131,Mic quality is fine for daily use for daily use.,3,Neutral
JBL,Wave Buds,The build quality feels below expectations and battery drains fast.,1,Negative
Noise,Buds VS104,The earbuds are impressive and easy to pair.,5,Positive
JBL,Live Pro 2,The earbuds feel not bad but could be better.,3,Neutral
boAt,Airdopes 141,Touch controls are below expectations with weak bass output.,1,Negative
boAt,Airdopes 131,Mic performance is better than expected for this price range.,5,Positive
Noise,Buds VS102,Connectivity is poor for the price paid.,1,Negative
OnePlus,Buds Z2,The design is neither too good nor too bad overall.,3,Neutral
Noise,Buds VS104,The earbuds are surprisingly great during calls.,4,Positive
OnePlus,Nord Buds,The earbuds are not good at all and stopped working quickly.,2,Negative
OnePlus,Nord Buds,Comfort level is fantastic with a premium feel.,5,Positive
Realme,Buds T300,The build quality feels cheap and weak and feels uncomfortable after some time.,2,Negative
boAt,Airdopes 131,Overall performance is average overall.,3,Neutral
Realme,Buds Air 3,The connectivity is satisfactory overall.,3,Neutral
OnePlus,Nord Buds,Connectivity is fantastic even after long usage.,5,Positive
JBL,Tune 230NC,The design is not bad for regular usage.,3,Neutral
OnePlus,Buds Z2,Touch controls are really satisfying and easy to pair.,4,Positive
JBL,Tune 230NC,Battery backup is fantastic and the bass is strong.,4,Positive
Noise,Buds VS102,The build quality feels not good at all and connection drops often.,2,Negative
boAt,Airdopes Alpha,Touch response is fine for daily use for regular usage.,3,Neutral
JBL,Live Pro 2,The earbuds feel satisfactory though nothing special.,3,Neutral
Realme,Buds T300,The sound quality is fantastic for this price range.,5,Positive
boAt,Airdopes 131,Battery backup is frustrating and not reliable overall.,1,Negative
JBL,Wave Buds,Mic quality is very disappointing and connection drops often.,1,Negative
Realme,Buds Air 3,Connectivity is really satisfying for music and gaming.,5,Positive
Realme,Buds Wireless 2,Battery backup is better than expected even after long usage.,4,Positive
Noise,Buds VS104,Noise cancellation is fantastic for music and gaming.,5,Positive
JBL,Live Pro 2,Mic performance is worth the price and very comfortable to wear.,4,Positive
boAt,Airdopes Alpha,The earbuds are amazing with a premium feel.,5,Positive
Realme,Buds Wireless 2,The build quality feels bad for long use and connection drops often.,2,Negative
Noise,Buds VS102,Battery backup is smooth and reliable for this price range.,4,Positive
OnePlus,Nord Buds 2,Comfort level is impressive and the bass is strong.,4,Positive
OnePlus,Nord Buds 2,The earbuds are not worth the price and not reliable overall.,2,Negative
OnePlus,Buds Z2,The design is satisfactory overall.,3,Neutral
JBL,Live Pro 2,Noise cancellation is surprisingly great with a premium feel.,4,Positive
OnePlus,Nord Buds,Overall performance is not good at all and feels uncomfortable after some time.,1,Negative
boAt,Airdopes 131,Touch controls are impressive during calls.,4,Positive
Realme,Buds Air 3,The sound quality is not good at all especially during calls.,2,Negative
JBL,Live Pro 2,Mic quality is cheap and weak and connection drops often.,1,Negative
JBL,Tune 230NC,The fit is frustrating for the price paid.,2,Negative
Realme,Buds Air 3,The sound quality is moderate but not outstanding.,3,Neutral
JBL,Live Pro 2,The fit is not worth the price and battery drains fast.,2,Negative
JBL,Tune 230NC,Comfort level is impressive and very comfortable to wear.,4,Positive
Realme,Buds T300,The fit is not bad for casual listening.,3,Neutral
JBL,Tune 230NC,The build quality feels terrible especially during calls.,2,Negative
Noise,Noise Air Buds,The build quality feels very disappointing especially during calls.,2,Negative
OnePlus,Buds Z2,Battery backup is cheap and weak and connection drops often.,1,Negative
JBL,Tune 230NC,Mic performance is very good and the bass is strong.,4,Positive
Realme,Buds Wireless 2,Mic quality is very disappointing with weak bass output.,1,Negative
OnePlus,Nord Buds 2,Connectivity is terrible especially during calls.,2,Negative
OnePlus,Nord Buds 2,The fit is neither too good nor too bad for casual listening.,3,Neutral
Noise,Buds VS102,Battery life is not bad overall.,3,Neutral
Noise,Buds VS104,Battery backup is bad for long use and stopped working quickly.,2,Negative
boAt,Airdopes 131,Touch controls are not good at all especially during calls.,2,Negative
Realme,Buds Air 3,The sound quality is not worth the price and not reliable overall.,1,Negative
OnePlus,Nord Buds,The earbuds feel fine for daily use for daily use.,3,Neutral
JBL,Live Pro 2,Connectivity is really satisfying and easy to pair.,4,Positive
Noise,Buds VS104,The earbuds are excellent even after long usage.,4,Positive
Noise,Noise Air Buds,The sound quality is surprisingly great and easy to pair.,5,Positive
Realme,Buds T300,Connectivity is very good and very comfortable to wear.,5,Positive
boAt,Airdopes 131,The earbuds are surprisingly great even after long usage.,5,Positive
JBL,Live Pro 2,The build quality feels poor and battery drains fast.,2,Negative
Realme,Buds Air 3,The design looks fantastic even after long usage.,4,Positive
Realme,Buds Air 3,Battery backup is below expectations and battery drains fast.,1,Negative
OnePlus,Nord Buds 2,Overall performance is just okay for regular usage.,3,Neutral
Noise,Buds VS102,Comfort level is surprisingly great during calls.,5,Positive
Noise,Buds VS104,The sound quality is excellent during calls.,4,Positive
JBL,Live Pro 2,Connectivity is poor and battery drains fast.,1,Negative
OnePlus,Nord Buds 2,Battery backup is unreliable and connection drops often.,1,Negative
OnePlus,Buds Z2,The earbuds feel okay but not outstanding.,3,Neutral
JBL,Tune 230NC,The earbuds are worth the price during calls.,4,Positive
Noise,Noise Air Buds,The design looks better than expected for music and gaming.,5,Positive
OnePlus,Nord Buds,Touch controls are amazing and easy to pair.,5,Positive
boAt,Airdopes Alpha,The design looks really satisfying for this price range.,4,Positive
Noise,Buds VS102,The sound quality is acceptable for daily use.,3,Neutral
boAt,Airdopes 131,Battery backup is below expectations and connection drops often.,1,Negative
Realme,Buds T300,Touch controls are very disappointing with weak bass output.,2,Negative
boAt,Airdopes 131,Connectivity is excellent and easy to pair.,5,Positive
Noise,Buds VS102,Mic quality is poor and stopped working quickly.,1,Negative
Noise,Buds VS104,Battery backup is cheap and weak and feels uncomfortable after some time.,1,Negative
JBL,Tune 230NC,Connectivity is not worth the price with weak bass output.,1,Negative
JBL,Wave Buds,Overall performance is below expectations especially during calls.,1,Negative
OnePlus,Nord Buds 2,Comfort level is surprisingly great with a premium feel.,4,Positive
Noise,Noise Air Buds,Comfort level is very good for this price range.,4,Positive
Noise,Buds VS102,The design is acceptable though nothing special.,3,Neutral
boAt,Airdopes 131,Touch controls are really satisfying during calls.,4,Positive
boAt,Airdopes 131,The sound quality is fantastic and very comfortable to wear.,5,Positive
Realme,Buds T300,The design is fine for daily use overall.,3,Neutral
OnePlus,Nord Buds 2,Battery backup is terrible and feels uncomfortable after some time.,2,Negative
JBL,Tune 230NC,The design looks amazing and very comfortable to wear.,5,Positive
Noise,Noise Air Buds,Battery backup is cheap and weak with weak bass output.,2,Negative
OnePlus,Nord Buds 2,Overall performance is very disappointing and battery drains fast.,2,Negative
JBL,Wave Buds,Connectivity is poor and stopped working quickly.,1,Negative
Noise,Buds VS104,Connectivity is excellent even after long usage.,4,Positive
Noise,Buds VS104,Overall performance is cheap and weak and battery drains fast.,2,Negative
boAt,Airdopes Alpha,The design is neither too good nor too bad for regular usage.,3,Neutral
Realme,Buds Air 3,The fit is decent for casual listening.,3,Neutral
boAt,Airdopes Alpha,The sound quality is terrible for the price paid.,2,Negative
Noise,Buds VS104,The sound quality is poor especially during calls.,2,Negative
JBL,Wave Buds,Battery backup is really satisfying and easy to pair.,4,Positive
OnePlus,Nord Buds 2,Battery life is acceptable overall.,3,Neutral
Noise,Buds VS104,Battery backup is not worth the price and battery drains fast.,1,Negative
JBL,Live Pro 2,The connectivity is average but could be better.,3,Neutral
Noise,Noise Air Buds,Overall performance is acceptable in this price segment.,3,Neutral
OnePlus,Nord Buds 2,Mic quality is satisfactory but not outstanding.,3,Neutral
OnePlus,Nord Buds,The connectivity is satisfactory but not outstanding.,3,Neutral
boAt,Airdopes Alpha,The earbuds are excellent even after long usage.,5,Positive
Noise,Noise Air Buds,Battery backup is terrible and battery drains fast.,1,Negative
JBL,Wave Buds,The sound quality is just okay for regular usage.,3,Neutral
boAt,Airdopes Alpha,Noise cancellation is impressive even after long usage.,5,Positive
Realme,Buds T300,The fit is neither too good nor too bad overall.,3,Neutral
boAt,Airdopes Alpha,Connectivity is better than expected and easy to pair.,5,Positive
OnePlus,Nord Buds 2,Touch controls are excellent for this price range.,5,Positive
boAt,Airdopes 131,Connectivity is frustrating for the price paid.,2,Negative
Noise,Buds VS102,The earbuds feel not bad but not outstanding.,3,Neutral
Noise,Buds VS104,The earbuds are surprisingly great even after long usage.,5,Positive
Noise,Buds VS104,The earbuds feel neither too good nor too bad for regular usage.,3,Neutral
boAt,Airdopes 131,The connectivity is okay for regular usage.,3,Neutral
OnePlus,Nord Buds,The design is not bad for casual listening.,3,Neutral
JBL,Live Pro 2,The earbuds feel not bad but not outstanding.,3,Neutral
Realme,Buds T300,Noise cancellation is better than expected and easy to pair.,4,Positive
boAt,Airdopes 131,The fit is acceptable but not outstanding.,3,Neutral
OnePlus,Nord Buds 2,The design is acceptable for regular usage.,3,Neutral
JBL,Tune 230NC,Battery life is decent for daily use.,3,Neutral
Noise,Buds VS104,The design looks smooth and reliable and very comfortable to wear.,4,Positive
Realme,Buds Air 3,Overall performance is bad for long use and battery drains fast.,2,Negative
Realme,Buds T300,Overall performance is satisfactory but could be better.,3,Neutral
JBL,Wave Buds,Mic quality is not worth the price and connection drops often.,2,Negative
Noise,Buds VS102,The design looks excellent and very comfortable to wear.,4,Positive
JBL,Wave Buds,Comfort level is impressive and very comfortable to wear.,4,Positive
Noise,Buds VS104,Connectivity is not good at all and connection drops often.,1,Negative
Noise,Buds VS104,Battery life is satisfactory but not outstanding.,3,Neutral
Noise,Noise Air Buds,The design looks amazing for this price range.,4,Positive
Noise,Noise Air Buds,Battery life is moderate overall.,3,Neutral
OnePlus,Nord Buds,Overall performance is not good at all and connection drops often.,2,Negative
Noise,Buds VS104,Touch response is moderate but could be better.,3,Neutral
Noise,Buds VS104,The design looks really satisfying for music and gaming.,4,Positive
Noise,Buds VS104,Connectivity is fantastic with a premium feel.,5,Positive
JBL,Wave Buds,Touch controls are impressive and easy to pair.,5,Positive
Realme,Buds T300,Mic quality is okay for regular usage.,3,Neutral
Realme,Buds Air 3,The design looks very good and easy to pair.,5,Positive
Realme,Buds Air 3,The earbuds are amazing even after long usage.,4,Positive
boAt,Airdopes Alpha,The sound quality is acceptable though nothing special.,3,Neutral
boAt,Airdopes 141,Mic quality is moderate but could be better.,3,Neutral
OnePlus,Nord Buds 2,The earbuds are cheap and weak especially during calls.,1,Negative
boAt,Airdopes Alpha,The earbuds feel fine for daily use for regular usage.,3,Neutral
OnePlus,Buds Z2,Touch response is acceptable though nothing special.,3,Neutral
Realme,Buds Wireless 2,The earbuds feel okay overall.,3,Neutral
OnePlus,Nord Buds 2,Mic quality is satisfactory for regular usage.,3,Neutral
boAt,Airdopes 131,Overall performance is moderate for casual listening.,3,Neutral
JBL,Wave Buds,The fit is poor and connection drops often.,2,Negative
OnePlus,Nord Buds 2,Battery backup is really satisfying for this price range.,5,Positive
JBL,Wave Buds,Mic quality is average for daily use.,3,Neutral
boAt,Airdopes Alpha,Overall performance is just okay but could be better.,3,Neutral
Noise,Buds VS104,Mic quality is below expectations and feels uncomfortable after some time.,2,Negative
Noise,Buds VS102,Battery life is not bad in this price segment.,3,Neutral
JBL,Live Pro 2,Mic quality is acceptable but could be better.,3,Neutral
Realme,Buds T300,The connectivity is just okay overall.,3,Neutral
JBL,Live Pro 2,Mic quality is acceptable though nothing special.,3,Neutral
Realme,Buds Air 3,Noise cancellation is very good for music and gaming.,5,Positive
boAt,Airdopes Alpha,The earbuds are frustrating for the price paid.,2,Negative
JBL,Tune 230NC,The earbuds are bad for long use and feels uncomfortable after some time.,1,Negative
boAt,Airdopes 141,Comfort level is worth the price with a premium feel.,5,Positive
JBL,Wave Buds,The earbuds feel decent overall.,3,Neutral
Realme,Buds Wireless 2,Touch response is average for regular usage.,3,Neutral
boAt,Airdopes 141,Overall performance is neither too good nor too bad in this price segment.,3,Neutral
OnePlus,Buds Z2,Touch controls are better than expected for music and gaming.,5,Positive
OnePlus,Nord Buds,Mic quality is okay but could be better.,3,Neutral
Realme,Buds T300,The sound quality is better than expected for music and gaming.,5,Positive
Noise,Buds VS104,The design looks better than expected for this price range.,4,Positive
Realme,Buds Wireless 2,The fit is neither too good nor too bad overall.,3,Neutral
Noise,Buds VS102,Battery life is neither too good nor too bad in this price segment.,3,Neutral
Realme,Buds Air 3,Battery backup is terrible and feels uncomfortable after some time.,2,Negative
OnePlus,Nord Buds,Connectivity is really satisfying and very comfortable to wear.,4,Positive
JBL,Wave Buds,The design looks amazing and the bass is strong.,4,Positive
Realme,Buds Air 3,Noise cancellation is smooth and reliable and easy to pair.,4,Positive
OnePlus,Buds Z2,Mic performance is better than expected and very comfortable to wear.,5,Positive
JBL,Tune 230NC,The sound quality is bad for long use and stopped working quickly.,2,Negative
JBL,Live Pro 2,Connectivity is unreliable and stopped working quickly.,1,Negative
JBL,Wave Buds,Touch controls are worth the price even after long usage.,4,Positive
OnePlus,Buds Z2,Comfort level is excellent for music and gaming.,5,Positive
JBL,Live Pro 2,The fit is frustrating and battery drains fast.,1,Negative
OnePlus,Nord Buds 2,The earbuds feel just okay for casual listening.,3,Neutral
Noise,Buds VS102,Battery backup is poor for the price paid.,1,Negative
JBL,Live Pro 2,The fit is frustrating and not reliable overall.,2,Negative
JBL,Live Pro 2,Overall performance is unreliable and stopped working quickly.,2,Negative
OnePlus,Buds Z2,The connectivity is not bad though nothing special.,3,Neutral
OnePlus,Nord Buds 2,Mic quality is very disappointing and not reliable overall.,2,Negative
boAt,Airdopes Alpha,The fit is below expectations for the price paid.,2,Negative
JBL,Tune 230NC,Overall performance is unreliable and stopped working quickly.,2,Negative
boAt,Airdopes Alpha,Connectivity is not worth the price and feels uncomfortable after some time.,2,Negative
OnePlus,Nord Buds,Battery life is fine for daily use in this price segment.,3,Neutral
OnePlus,Buds Z2,Overall performance is just okay though nothing special.,3,Neutral
Realme,Buds Wireless 2,The fit is poor and not reliable overall.,2,Negative
JBL,Tune 230NC,The design is satisfactory for casual listening.,3,Neutral
Noise,Buds VS104,The fit is decent for daily use.,3,Neutral
boAt,Airdopes 141,Noise cancellation is surprisingly great and easy to pair.,4,Positive
boAt,Airdopes Alpha,The sound quality is moderate for daily use.,3,Neutral
OnePlus,Nord Buds,The earbuds are amazing and easy to pair.,5,Positive
boAt,Airdopes 141,The earbuds feel acceptable but could be better.,3,Neutral
boAt,Airdopes 131,Mic quality is satisfactory but could be better.,3,Neutral
boAt,Airdopes 141,The connectivity is okay though nothing special.,3,Neutral
JBL,Wave Buds,Touch response is moderate though nothing special.,3,Neutral
Realme,Buds T300,The sound quality is okay though nothing special.,3,Neutral
Realme,Buds T300,The sound quality is neither too good nor too bad for regular usage.,3,Neutral
Noise,Buds VS104,Mic quality is bad for long use with weak bass output.,1,Negative
JBL,Wave Buds,The design looks worth the price for music and gaming.,4,Positive
JBL,Tune 230NC,Battery backup is fantastic for music and gaming.,5,Positive
OnePlus,Nord Buds,Overall performance is average overall.,3,Neutral
boAt,Airdopes 131,Mic quality is fine for daily use in this price segment.,3,Neutral
OnePlus,Nord Buds,The earbuds are amazing and very comfortable to wear.,5,Positive
JBL,Live Pro 2,The build quality feels poor and connection drops often.,2,Negative
OnePlus,Nord Buds,The earbuds are frustrating and not reliable overall.,1,Negative
Realme,Buds T300,Touch controls are better than expected for music and gaming.,5,Positive
Noise,Buds VS104,Touch controls are fantastic and easy to pair.,4,Positive
OnePlus,Nord Buds,Overall performance is just okay overall.,3,Neutral
Realme,Buds Wireless 2,Overall performance is not worth the price and feels uncomfortable after some time.,1,Negative
JBL,Live Pro 2,The fit is neither too good nor too bad though nothing special.,3,Neutral
Noise,Noise Air Buds,The connectivity is just okay overall.,3,Neutral
Noise,Buds VS102,Mic performance is better than expected with a premium feel.,5,Positive
boAt,Airdopes Alpha,Battery backup is really satisfying and the bass is strong.,5,Positive
Noise,Buds VS104,The earbuds are bad for long use and feels uncomfortable after some time.,2,Negative
Realme,Buds Wireless 2,Touch controls are below expectations and battery drains fast.,1,Negative
Realme,Buds Air 3,Mic quality is moderate in this price segment.,3,Neutral
boAt,Airdopes 131,Connectivity is not worth the price and not reliable overall.,2,Negative
OnePlus,Buds Z2,The sound quality is fine for daily use but could be better.,3,Neutral
Noise,Buds VS104,Touch response is fine for daily use but could be better.,3,Neutral
OnePlus,Nord Buds,The build quality feels cheap and weak and battery drains fast.,1,Negative
boAt,Airdopes Alpha,The connectivity is just okay though nothing special.,3,Neutral
Realme,Buds Air 3,The earbuds are terrible and not reliable overall.,2,Negative
Realme,Buds Air 3,The earbuds feel average in this price segment.,3,Neutral
