brand,product,review,rating,sentiment
JBL,Tune 230NC,The design is moderate in this price segment.,3,Neutral
boAt,Airdopes 131,Mic performance is impressive and very comfortable to wear.,4,Positive
JBL,Live Pro 2,Touch controls are smooth and reliable for this price range.,5,Positive
OnePlus,Buds Z2,The design looks surprisingly great for this price range.,4,Positive
Realme,Buds T300,Connectivity is excellent for music and gaming.,4,Positive
Noise,Buds VS102,Touch controls are bad for long use and battery drains fast.,1,Negative
OnePlus,Nord Buds 2,Comfort level is better than expected and easy to pair.,5,Positive
OnePlus,Nord Buds 2,Touch controls are really satisfying even after long usage.,4,Positive
boAt,Airdopes 141,The earbuds feel acceptable but could be better.,3,Neutral
Noise,Buds VS102,Overall performance is just okay for casual listening.,3,Neutral
Realme,Buds Wireless 2,Overall performance is poor with weak bass output.,1,Negative
JBL,Live Pro 2,Touch controls are better than expected for music and gaming.,5,Positive
JBL,Tune 230NC,The design looks smooth and reliable and easy to pair.,5,Positive
Realme,Buds T300,The fit is bad for long use especially during calls.,2,Negative
Noise,Noise Air Buds,Connectivity is smooth and reliable for this price range.,5,Positive
boAt,Airdopes 141,The sound quality is fantastic and very comfortable to wear.,5,Positive
boAt,Airdopes Alpha,Connectivity is better than expected even after long usage.,4,Positive
OnePlus,Nord Buds 2,The fit is average but could be better.,3,Neutral
Noise,Noise Air Buds,Battery life is moderate for regular usage.,3,Neutral
boAt,Airdopes 141,Touch controls are poor and battery drains fast.,2,Negative
boAt,Airdopes 141,The fit is bad for long use and connection drops often.,1,Negative
OnePlus,Buds Z2,The connectivity is average in this price segment.,3,Neutral
boAt,Airdopes 141,Touch response is not bad in this price segment.,3,Neutral
Realme,Buds Wireless 2,The fit is decent for daily use.,3,Neutral
Realme,Buds Wireless 2,The fit is satisfactory but not outstanding.,3,Neutral
Noise,Noise Air Buds,The fit is decent though nothing special.,3,Neutral
OnePlus,Buds Z2,The build quality feels unreliable for the price paid.,1,Negative
JBL,Live Pro 2,Touch controls are excellent for music and gaming.,5,Positive
Noise,Buds VS104,Mic quality is cheap and weak and connection drops often.,1,Negative
OnePlus,Buds Z2,Overall performance is average though nothing special.,3,Neutral
Noise,Buds VS102,Touch controls are better than expected and very comfortable to wear.,5,Positive
JBL,Live Pro 2,The design looks worth the price and the bass is strong.,4,Positive
Noise,Buds VS104,Comfort level is better than expected even after long usage.,5,Positive
Realme,Buds Wireless 2,Mic quality is fine for daily use for regular usage.,3,Neutral
boAt,Airdopes 131,The fit is okay for casual listening.,3,Neutral
JBL,Wave Buds,The connectivity is decent in this price segment.,3,Neutral
Realme,Buds T300,Mic quality is acceptable overall.,3,Neutral
OnePlus,Nord Buds 2,Connectivity is really satisfying for music and gaming.,4,Positive
boAt,Airdopes 131,Mic performance is impressive for music and gaming.,4,Positive
JBL,Wave Buds,The design looks smooth and reliable and the bass is strong.,5,Positive
Noise,Buds VS102,The earbuds are amazing and the bass is strong.,5,Positive
Noise,Noise Air Buds,Noise cancellation is better than expected for this price range.,5,Positive
Realme,Buds Wireless 2,Touch controls are not good at all for the price paid.,2,Negative
JBL,Tune 230NC,The design looks impressive for music and gaming.,5,Positive
Noise,Buds VS104,The earbuds are poor especially during calls.,2,Negative
boAt,Airdopes 141,Connectivity is poor and connection drops often.,1,Negative
JBL,Live Pro 2,Mic quality is acceptable though nothing special.,3,Neutral
boAt,Airdopes 131,Overall performance is frustrating and not reliable overall.,2,Negative
boAt,Airdopes 141,Touch response is decent for daily use.,3,Neutral
Noise,Buds VS102,The sound quality is decent though nothing special.,3,Neutral
Realme,Buds Air 3,Touch controls are unreliable for the price paid.,2,Negative
Realme,Buds Air 3,Connectivity is terrible and not reliable overall.,2,Negative
boAt,Airdopes 131,Overall performance is neither too good nor too bad but not outstanding.,3,Neutral
Noise,Noise Air Buds,Mic quality is cheap and weak especially during calls.,2,Negative
OnePlus,Buds Z2,The fit is very disappointing and feels uncomfortable after some time.,2,Negative
boAt,Airdopes 141,The fit is cheap and weak with weak bass output.,2,Negative
boAt,Airdopes 131,The sound quality is below expectations especially during calls.,1,Negative
boAt,Airdopes 131,Connectivity is below expectations and battery drains fast.,2,Negative
JBL,Live Pro 2,Touch controls are surprisingly great for this price range.,5,Positive
boAt,Airdopes 131,Touch response is not bad but not outstanding.,3,Neutral
boAt,Airdopes 131,The earbuds feel decent but not outstanding.,3,Neutral
Noise,Buds VS102,Touch response is just okay for daily use.,3,Neutral
OnePlus,Buds Z2,Touch response is neither too good nor too bad overall.,3,Neutral
Realme,Buds T300,The earbuds feel moderate but not outstanding.,3,Neutral
Noise,Buds VS102,The fit is cheap and weak and not reliable overall.,2,Negative
JBL,Live Pro 2,The fit is unreliable and connection drops often.,2,Negative
OnePlus,Buds Z2,Battery backup is amazing even after long usage.,4,Positive
Realme,Buds Air 3,The fit is very disappointing for the price paid.,2,Negative
OnePlus,Nord Buds 2,Noise cancellation is impressive and the bass is strong.,5,Positive
Realme,Buds Air 3,Connectivity is not good at all for the price paid.,2,Negative
Noise,Buds VS104,The connectivity is okay in this price segment.,3,Neutral
JBL,Live Pro 2,The earbuds are amazing even after long usage.,4,Positive
OnePlus,Nord Buds 2,Overall performance is cheap and weak with weak bass output.,1,Negative
JBL,Tune 230NC,The connectivity is neither too good nor too bad for regular usage.,3,Neutral
boAt,Airdopes 131,The design looks better than expected for music and gaming.,5,Positive
JBL,Live Pro 2,Overall performance is okay overall.,3,Neutral
OnePlus,Buds Z2,Battery backup is not good at all for the price paid.,2,Negative
Noise,Buds VS102,The fit is satisfactory in this price segment.,3,Neutral
OnePlus,Buds Z2,Touch controls are very good even after long usage.,5,Positive
JBL,Wave Buds,The sound quality is acceptable though nothing special.,3,Neutral
OnePlus,Nord Buds 2,Battery backup is smooth and reliable and very comfortable to wear.,5,Positive
Noise,Noise Air Buds,The earbuds are worth the price for music and gaming.,5,Positive
JBL,Tune 230NC,The earbuds feel just okay for regular usage.,3,Neutral
Noise,Buds VS104,Mic quality is moderate in this price segment.,3,Neutral
Realme,Buds Air 3,The build quality feels not good at all especially during calls.,1,Negative
Realme,Buds Wireless 2,Battery backup is smooth and reliable and very comfortable to wear.,5,Positive
Noise,Buds VS102,Overall performance is frustrating with weak bass output.,2,Negative
boAt,Airdopes 131,Touch controls are really satisfying for this price range.,5,Positive
boAt,Airdopes Alpha,Noise cancellation is impressive for music and gaming.,5,Positive
OnePlus,Nord Buds,The earbuds feel neither too good nor too bad in this price segment.,3,Neutral
Realme,Buds Wireless 2,Overall performance is cheap and weak and not reliable overall.,1,Negative
boAt,Airdopes 131,Overall performance is not worth the price and connection drops often.,2,Negative
Realme,Buds T300,Battery backup is terrible and stopped working quickly.,2,Negative
OnePlus,Buds Z2,The build quality feels bad for long use for the price paid.,1,Negative
Noise,Noise Air Buds,Mic quality is bad for long use and connection drops often.,2,Negative
Realme,Buds Air 3,The earbuds feel fine for daily use overall.,3,Neutral
Noise,Buds VS102,Overall performance is poor and feels uncomfortable after some time.,1,Negative
OnePlus,Buds Z2,The earbuds are unreliable especially during calls.,1,Negative
JBL,Wave Buds,The sound quality is not bad overall.,3,Neutral
boAt,Airdopes Alpha,Battery backup is cheap and weak and not reliable overall.,1,Negative
OnePlus,Nord Buds 2,Connectivity is frustrating and stopped working quickly.,2,Negative
Realme,Buds T300,Battery backup is very disappointing especially during calls.,1,Negative
boAt,Airdopes 141,Overall performance is bad for long use and battery drains fast.,1,Negative
OnePlus,Nord Buds,The earbuds are worth the price even after long usage.,5,Positive
Realme,Buds Wireless 2,Touch controls are not worth the price and not reliable overall.,1,Negative
JBL,Live Pro 2,Battery backup is not good at all and stopped working quickly.,1,Negative
boAt,Airdopes 141,The earbuds are bad for long use and stopped working quickly.,1,Negative
Realme,Buds Air 3,Touch controls are better than expected with a premium feel.,4,Positive
JBL,Tune 230NC,Noise cancellation is really satisfying during calls.,4,Positive
JBL,Tune 230NC,Noise cancellation is surprisingly great and easy to pair.,4,Positive
boAt,Airdopes 141,Noise cancellation is really satisfying for music and gaming.,4,Positive
JBL,Wave Buds,Mic quality is satisfactory for casual listening.,3,Neutral
JBL,Live Pro 2,Overall performance is moderate overall.,3,Neutral
boAt,Airdopes Alpha,The fit is not worth the price and feels uncomfortable after some time.,1,Negative
boAt,Airdopes Alpha,Connectivity is below expectations and feels uncomfortable after some time.,1,Negative
OnePlus,Nord Buds,The connectivity is acceptable though nothing special.,3,Neutral
boAt,Airdopes 131,The earbuds are very good during calls.,5,Positive
Noise,Buds VS102,The sound quality is not good at all and stopped working quickly.,2,Negative
OnePlus,Nord Buds,Battery backup is poor and feels uncomfortable after some time.,1,Negative
boAt,Airdopes 131,Connectivity is not worth the price and not reliable overall.,2,Negative
boAt,Airdopes 141,The connectivity is moderate but not outstanding.,3,Neutral
Realme,Buds T300,The connectivity is okay but not outstanding.,3,Neutral
OnePlus,Nord Buds,Noise cancellation is worth the price for this price range.,4,Positive
boAt,Airdopes 131,Overall performance is bad for long use and battery drains fast.,2,Negative
Realme,Buds Air 3,The sound quality is cheap and weak especially during calls.,1,Negative
Realme,Buds Air 3,Touch controls are terrible for the price paid.,2,Negative
boAt,Airdopes Alpha,The sound quality is better than expected and very comfortable to wear.,4,Positive
OnePlus,Buds Z2,Mic quality is unreliable for the price paid.,1,Negative
Realme,Buds Air 3,The earbuds are below expectations and feels uncomfortable after some time.,2,Negative
JBL,Wave Buds,Comfort level is very good and the bass is strong.,4,Positive
Noise,Noise Air Buds,Connectivity is very good during calls.,4,Positive
Realme,Buds Wireless 2,The design looks worth the price and the bass is strong.,5,Positive
JBL,Wave Buds,Overall performance is not good at all and feels uncomfortable after some time.,1,Negative
JBL,Wave Buds,The design looks worth the price with a premium feel.,4,Positive
JBL,Live Pro 2,Overall performance is unreliable and battery drains fast.,1,Negative
boAt,Airdopes 131,The connectivity is just okay for daily use.,3,Neutral
JBL,Live Pro 2,The fit is average though nothing special.,3,Neutral
Realme,Buds Air 3,The design looks amazing and easy to pair.,5,Positive
Realme,Buds Air 3,Overall performance is poor with weak bass output.,1,Negative
OnePlus,Nord Buds 2,The sound quality is acceptable but not outstanding.,3,Neutral
OnePlus,Buds Z2,The earbuds feel acceptable overall.,3,Neutral
OnePlus,Nord Buds 2,Connectivity is bad for long use and not reliable overall.,2,Negative
Realme,Buds T300,The earbuds are poor and connection drops often.,2,Negative
JBL,Tune 230NC,Battery life is satisfactory in this price segment.,3,Neutral
boAt,Airdopes 141,Battery backup is really satisfying for music and gaming.,4,Positive
Noise,Buds VS102,Noise cancellation is very good during calls.,5,Positive
Realme,Buds Air 3,Mic quality is just okay overall.,3,Neutral
Noise,Buds VS102,The sound quality is really satisfying for this price range.,4,Positive
boAt,Airdopes Alpha,Touch response is neither too good nor too bad in this price segment.,3,Neutral
OnePlus,Nord Buds 2,Touch controls are surprisingly great and easy to pair.,5,Positive
OnePlus,Buds Z2,Connectivity is poor and battery drains fast.,2,Negative
boAt,Airdopes Alpha,Overall performance is neither too good nor too bad for regular usage.,3,Neutral
OnePlus,Buds Z2,The connectivity is moderate but not outstanding.,3,Neutral
boAt,Airdopes Alpha,Battery backup is worth the price and very comfortable to wear.,4,Positive
JBL,Tune 230NC,Battery backup is below expectations especially during calls.,1,Negative
Realme,Buds Air 3,Touch response is just okay for regular usage.,3,Neutral
Noise,Buds VS104,The build quality feels not good at all especially during calls.,1,Negative
Noise,Buds VS104,Connectivity is not good at all especially during calls.,1,Negative
Noise,Noise Air Buds,Touch controls are terrible and not reliable overall.,1,Negative
Realme,Buds Wireless 2,Overall performance is terrible for the price paid.,2,Negative
JBL,Tune 230NC,Mic quality is unreliable and connection drops often.,1,Negative
JBL,Tune 230NC,Battery life is fine for daily use for daily use.,3,Neutral
Realme,Buds Air 3,The design looks smooth and reliable during calls.,4,Positive
OnePlus,Buds Z2,The connectivity is moderate overall.,3,Neutral
boAt,Airdopes 131,Connectivity is better than expected with a premium feel.,4,Positive
OnePlus,Buds Z2,Connectivity is fantastic during calls.,5,Positive
OnePlus,Buds Z2,Connectivity is excellent during calls.,5,Positive
boAt,Airdopes 131,The earbuds are bad for long use and not reliable overall.,2,Negative
boAt,Airdopes 141,Battery backup is amazing during calls.,4,Positive
boAt,Airdopes 141,Connectivity is not good at all with weak bass output.,1,Negative
OnePlus,Nord Buds,Battery backup is very good and very comfortable to wear.,4,Positive
boAt,Airdopes 141,Battery backup is below expectations and battery drains fast.,1,Negative
boAt,Airdopes 141,Mic quality is poor and stopped working quickly.,2,Negative
boAt,Airdopes 131,The sound quality is decent but not outstanding.,3,Neutral
OnePlus,Buds Z2,The earbuds are terrible for the price paid.,2,Negative
boAt,Airdopes Alpha,Battery backup is really satisfying for this price range.,4,Positive
boAt,Airdopes Alpha,The fit is average but could be better.,3,Neutral
Noise,Buds VS102,Overall performance is neither too good nor too bad for daily use.,3,Neutral
JBL,Wave Buds,Connectivity is fantastic and easy to pair.,4,Positive
OnePlus,Buds Z2,Touch controls are terrible and not reliable overall.,1,Negative
OnePlus,Nord Buds 2,The design is decent for casual listening.,3,Neutral
Realme,Buds Air 3,Mic performance is impressive and very comfortable to wear.,4,Positive
JBL,Live Pro 2,Overall performance is very disappointing with weak bass output.,1,Negative
OnePlus,Buds Z2,The connectivity is okay in this price segment.,3,Neutral
Realme,Buds Wireless 2,Overall performance is not bad though nothing special.,3,Neutral
boAt,Airdopes 131,The sound quality is amazing and the bass is strong.,5,Positive
Realme,Buds Air 3,Noise cancellation is surprisingly great for music and gaming.,5,Positive
Realme,Buds T300,The connectivity is just okay but could be better.,3,Neutral
Realme,Buds Wireless 2,The earbuds are terrible and feels uncomfortable after some time.,1,Negative
JBL,Wave Buds,Touch controls are unreliable and feels uncomfortable after some time.,1,Negative
Noise,Buds VS104,The sound quality is terrible and battery drains fast.,1,Negative
Noise,Buds VS102,The design looks fantastic for this price range.,5,Positive
OnePlus,Nord Buds,Comfort level is smooth and reliable for music and gaming.,4,Positive
Realme,Buds T300,Battery backup is better than expected and very comfortable to wear.,4,Positive
JBL,Live Pro 2,Noise cancellation is worth the price and the bass is strong.,4,Positive
Realme,Buds T300,Connectivity is amazing and very comfortable to wear.,5,Positive
Noise,Buds VS104,Battery backup is not good at all and feels uncomfortable after some time.,2,Negative
JBL,Wave Buds,The sound quality is worth the price during calls.,5,Positive
OnePlus,Nord Buds,Touch response is moderate overall.,3,Neutral
boAt,Airdopes Alpha,The sound quality is better than expected for this price range.,5,Positive
Realme,Buds Wireless 2,The sound quality is below expectations and feels uncomfortable after some time.,1,Negative
Realme,Buds Wireless 2,The earbuds feel just okay in this price segment.,3,Neutral
JBL,Wave Buds,The build quality feels unreliable especially during calls.,2,Negative
JBL,Tune 230NC,The design is acceptable for daily use.,3,Neutral
OnePlus,Nord Buds,The design looks excellent even after long usage.,4,Positive
boAt,Airdopes Alpha,The sound quality is just okay for casual listening.,3,Neutral
Realme,Buds T300,Touch response is satisfactory though nothing special.,3,Neutral
JBL,Wave Buds,Overall performance is not bad for casual listening.,3,Neutral
Noise,Buds VS102,Connectivity is unreliable and battery drains fast.,1,Negative
boAt,Airdopes Alpha,Mic quality is below expectations for the price paid.,1,Negative
Realme,Buds Wireless 2,The fit is not good at all and battery drains fast.,2,Negative
Realme,Buds T300,Battery life is just okay but not outstanding.,3,Neutral
Noise,Noise Air Buds,The sound quality is fine for daily use in this price segment.,3,Neutral
boAt,Airdopes 141,Touch response is just okay but not outstanding.,3,Neutral
boAt,Airdopes Alpha,The connectivity is not bad but not outstanding.,3,Neutral
Noise,Buds VS104,The sound quality is neither too good nor too bad for daily use.,3,Neutral
boAt,Airdopes Alpha,Noise cancellation is better than expected with a premium feel.,4,Positive
JBL,Wave Buds,The design is moderate for regular usage.,3,Neutral
boAt,Airdopes Alpha,The fit is okay in this price segment.,3,Neutral
JBL,Live Pro 2,The fit is neither too good nor too bad for casual listening.,3,Neutral
Realme,Buds Air 3,Comfort level is fantastic for this price range.,4,Positive
Realme,Buds T300,The earbuds feel moderate though nothing special.,3,Neutral
JBL,Tune 230NC,The build quality feels poor and connection drops often.,2,Negative
OnePlus,Nord Buds,Battery backup is unreliable and feels uncomfortable after some time.,2,Negative
OnePlus,Buds Z2,Touch controls are very good for this price range.,5,Positive
OnePlus,Buds Z2,Touch controls are frustrating with weak bass output.,2,Negative
JBL,Tune 230NC,Noise cancellation is worth the price during calls.,4,Positive
Noise,Buds VS104,Battery backup is excellent for music and gaming.,4,Positive
OnePlus,Nord Buds 2,Comfort level is very good and the bass is strong.,4,Positive
OnePlus,Buds Z2,Mic quality is poor for the price paid.,2,Negative
JBL,Tune 230NC,Battery backup is impressive for music and gaming.,4,Positive
JBL,Tune 230NC,Mic quality is very disappointing and battery drains fast.,2,Negative
boAt,Airdopes 141,The design looks fantastic and easy to pair.,5,Positive
Realme,Buds Wireless 2,Battery backup is very good and very comfortable to wear.,4,Positive
OnePlus,Nord Buds 2,Battery life is not bad but could be better.,3,Neutral
Noise,Noise Air Buds,Noise cancellation is impressive and very comfortable to wear.,4,Positive
Realme,Buds Air 3,Comfort level is impressive during calls.,5,Positive
Noise,Buds VS104,Mic quality is poor and stopped working quickly.,1,Negative
JBL,Tune 230NC,The design is moderate for daily use.,3,Neutral
Realme,Buds Air 3,The earbuds are not good at all for the price paid.,1,Negative
Realme,Buds Wireless 2,Overall performance is neither too good nor too bad for daily use.,3,Neutral
OnePlus,Nord Buds,The fit is satisfactory but could be better.,3,Neutral
JBL,Wave Buds,The earbuds are better than expected and very comfortable to wear.,5,Positive
boAt,Airdopes Alpha,Battery life is decent in this price segment.,3,Neutral
Realme,Buds Air 3,The sound quality is unreliable especially during calls.,2,Negative
boAt,Airdopes 131,The fit is satisfactory for casual listening.,3,Neutral
JBL,Wave Buds,Battery backup is really satisfying even after long usage.,5,Positive
boAt,Airdopes 141,Connectivity is excellent and the bass is strong.,4,Positive
Noise,Noise Air Buds,Overall performance is frustrating with weak bass output.,1,Negative
OnePlus,Nord Buds,Connectivity is very good during calls.,4,Positive
